url,main_category,sub_category,n_peps,peps
https://docs.python.org/3/library/io.html,io,io,0,[]
https://docs.python.org/3/library/http.cookies.html,http,http.cookies,0,[]
https://docs.python.org/3/library/http.cookiejar.html,http,http.cookiejar,0,[]
https://docs.python.org/3/library/http.client.html,http,http.client,0,[]
https://docs.python.org/3/library/html.parser.html,html,html.parser,0,[]
https://docs.python.org/3/library/html.html,html,html,0,[]
https://docs.python.org/3/library/html.entities.html,html,html.entities,0,[]
https://docs.python.org/3/library/intro.html,intro,intro,0,[]
https://docs.python.org/3/library/ipaddress.html,ipaddress,ipaddress,0,[]
https://docs.python.org/3/library/email.errors.html,email,email.errors,0,[]
https://docs.python.org/3/library/macpath.html,macpath,macpath,0,[]
https://docs.python.org/3/library/misc.html,misc,misc,0,[]
https://docs.python.org/3/library/mimetypes.html,mimetypes,mimetypes,0,[]
https://docs.python.org/3/library/marshal.html,marshal,marshal,0,[]
https://docs.python.org/3/library/markup.html,markup,markup,0,[]
https://docs.python.org/3/library/mailcap.html,mailcap,mailcap,0,[]
https://docs.python.org/3/library/mailbox.html,mailbox,mailbox,0,[]
https://docs.python.org/3/library/lzma.html,lzma,lzma,0,[]
https://docs.python.org/3/library/ipc.html,ipc,ipc,0,[]
https://docs.python.org/3/library/logging.config.html,logging,logging.config,0,[]
https://docs.python.org/3/library/locale.html,locale,locale,0,[]
https://docs.python.org/3/library/language.html,language,language,0,[]
https://docs.python.org/3/library/keyword.html,keyword,keyword,0,[]
https://docs.python.org/3/library/json.html,json,json,0,[]
https://docs.python.org/3/library/itertools.html,itertools,itertools,0,[]
https://docs.python.org/3/library/hmac.html,hmac,hmac,0,[]
https://docs.python.org/3/library/heapq.html,heapq,heapq,0,[]
https://docs.python.org/3/library/hashlib.html,hashlib,hashlib,0,[]
https://docs.python.org/3/library/email.mime.html,email,email.mime,0,[]
https://docs.python.org/3/library/faulthandler.html,faulthandler,faulthandler,0,[]
https://docs.python.org/3/library/errno.html,errno,errno,0,[]
https://docs.python.org/3/library/enum.html,enum,enum,0,[]
https://docs.python.org/3/library/email.utils.html,email,email.utils,0,[]
https://docs.python.org/3/library/email.policy.html,email,email.policy,0,[]
https://docs.python.org/3/library/email.parser.html,email,email.parser,0,[]
https://docs.python.org/3/library/email.message.html,email,email.message,0,[]
https://docs.python.org/3/library/gzip.html,gzip,gzip,0,[]
https://docs.python.org/3/library/email.iterators.html,email,email.iterators,0,[]
https://docs.python.org/3/library/email.html,email,email,0,[]
https://docs.python.org/3/library/email.headerregistry.html,email,email.headerregistry,0,[]
https://docs.python.org/3/library/email.header.html,email,email.header,0,[]
https://docs.python.org/3/library/email.generator.html,email,email.generator,0,[]
https://docs.python.org/3/library/email.examples.html,email,email.examples,0,[]
https://docs.python.org/3/library/fcntl.html,fcntl,fcntl,0,[]
https://docs.python.org/3/library/filecmp.html,filecmp,filecmp,0,[]
https://docs.python.org/3/library/fileformats.html,fileformats,fileformats,0,[]
https://docs.python.org/3/library/fileinput.html,fileinput,fileinput,0,[]
https://docs.python.org/3/library/filesys.html,filesys,filesys,0,[]
https://docs.python.org/3/library/fnmatch.html,fnmatch,fnmatch,0,[]
https://docs.python.org/3/library/formatter.html,formatter,formatter,0,[]
https://docs.python.org/3/library/fractions.html,fractions,fractions,0,[]
https://docs.python.org/3/library/frameworks.html,frameworks,frameworks,0,[]
https://docs.python.org/3/library/ftplib.html,ftplib,ftplib,0,[]
https://docs.python.org/3/library/functional.html,functional,functional,0,[]
https://docs.python.org/3/library/functools.html,functools,functools,0,[]
https://docs.python.org/3/library/getopt.html,getopt,getopt,0,[]
https://docs.python.org/3/library/getpass.html,getpass,getpass,0,[]
https://docs.python.org/3/library/gettext.html,gettext,gettext,0,[]
https://docs.python.org/3/library/glob.html,glob,glob,0,[]
https://docs.python.org/3/library/grp.html,grp,grp,0,[]
https://docs.python.org/3/library/zlib.html,zlib,zlib,0,[]
